config_id,family,c,gamma,fold,train_eer,validation_eer,validation_roc_auc,working_fmr,working_fnmr
rbf_svm__c_1e-06__gamma_0.01,rbf_svm,1e-06,0.01,2,0.1391812865497076,0.2,0.9071407407407406,0.008888888888888889,0.25333333333333335
rbf_svm__c_1e-05__gamma_0.001,rbf_svm,1e-05,0.001,2,0.12514619883040937,0.1688888888888889,0.9250567901234569,0.008888888888888889,0.26666666666666666
rbf_svm__c_1e-05__gamma_0.01,rbf_svm,1e-05,0.01,2,0.1391812865497076,0.2,0.9071407407407406,0.008888888888888889,0.25333333333333335
logistic_regression__c_1e-07,logistic_regression,1e-07,,3,0.11345029239766082,0.09777777777777778,0.9683753086419753,0.008888888888888889,0.2088888888888889
logistic_regression__c_1e-06,logistic_regression,1e-06,,3,0.11345029239766082,0.09777777777777778,0.9683160493827161,0.008888888888888889,0.2088888888888889
logistic_regression__c_1e-05,logistic_regression,1e-05,,3,0.11228070175438597,0.09777777777777778,0.9679012345679012,0.008888888888888889,0.21333333333333335
linear_svm__c_1e-07,linear_svm,1e-07,,3,0.11345029239766082,0.09777777777777778,0.9683753086419753,0.008888888888888889,0.2088888888888889
linear_svm__c_1e-06,linear_svm,1e-06,,3,0.11345029239766082,0.09777777777777778,0.9683753086419753,0.008888888888888889,0.2088888888888889
linear_svm__c_1e-05,linear_svm,1e-05,,3,0.11345029239766082,0.09777777777777778,0.9683753086419753,0.008888888888888889,0.2088888888888889
rbf_svm__c_1e-07__gamma_0.001,rbf_svm,1e-07,0.001,3,0.11228070175438597,0.09777777777777778,0.9690074074074073,0.008888888888888889,0.20444444444444446
rbf_svm__c_1e-07__gamma_0.01,rbf_svm,1e-07,0.01,3,0.12046783625730995,0.10222222222222223,0.9739061728395062,0.008888888888888889,0.21333333333333335
rbf_svm__c_1e-06__gamma_0.001,rbf_svm,1e-06,0.001,3,0.11228070175438597,0.09777777777777778,0.9690074074074073,0.008888888888888889,0.20444444444444446
rbf_svm__c_1e-06__gamma_0.01,rbf_svm,1e-06,0.01,3,0.12046783625730995,0.10222222222222223,0.9739061728395062,0.008888888888888889,0.21333333333333335
rbf_svm__c_1e-05__gamma_0.001,rbf_svm,1e-05,0.001,3,0.11228070175438597,0.09777777777777778,0.9690074074074073,0.008888888888888889,0.20444444444444446
rbf_svm__c_1e-05__gamma_0.01,rbf_svm,1e-05,0.01,3,0.12046783625730995,0.10222222222222223,0.9739061728395062,0.008888888888888889,0.21333333333333335
logistic_regression__c_1e-07,logistic_regression,1e-07,,4,0.12982456140350876,0.14222222222222222,0.9410370370370371,0.0044444444444444444,0.5955555555555555
logistic_regression__c_1e-06,logistic_regression,1e-06,,4,0.12982456140350876,0.14222222222222222,0.9409777777777777,0.0044444444444444444,0.5955555555555555
logistic_regression__c_1e-05,logistic_regression,1e-05,,4,0.12982456140350876,0.14222222222222222,0.9406419753086419,0.0044444444444444444,0.5955555555555555
linear_svm__c_1e-07,linear_svm,1e-07,,4,0.12982456140350876,0.14222222222222222,0.9410370370370371,0.0044444444444444444,0.5955555555555555
linear_svm__c_1e-06,linear_svm,1e-06,,4,0.12982456140350876,0.14222222222222222,0.9410370370370371,0.0044444444444444444,0.5955555555555555
