config_id,family,c,gamma,fold,train_eer,validation_eer,validation_roc_auc,working_fmr,working_fnmr
logistic_regression__c_10,logistic_regression,10.0,,2,0.05380116959064327,0.11555555555555555,0.9519802469135803,0.008888888888888889,0.4711111111111111
logistic_regression__c_100,logistic_regression,100.0,,2,0.05380116959064327,0.11555555555555555,0.9519012345679013,0.008888888888888889,0.4711111111111111
linear_svm__c_0.001,linear_svm,0.001,,2,0.0783625730994152,0.10222222222222223,0.960730864197531,0.008888888888888889,0.31555555555555553
linear_svm__c_0.01,linear_svm,0.01,,2,0.05964912280701754,0.10222222222222223,0.9606913580246914,0.008888888888888889,0.37333333333333335
linear_svm__c_0.1,linear_svm,0.1,,2,0.05497076023391813,0.10666666666666667,0.9601185185185185,0.008888888888888889,0.4266666666666667
linear_svm__c_1,linear_svm,1.0,,2,0.050292397660818715,0.11555555555555555,0.9543901234567901,0.008888888888888889,0.47555555555555556
linear_svm__c_10,linear_svm,10.0,,2,0.04912280701754386,0.11555555555555555,0.9531851851851851,0.008888888888888889,0.47555555555555556
linear_svm__c_100,linear_svm,100.0,,2,0.04912280701754386,0.11555555555555555,0.9530666666666666,0.008888888888888889,0.47555555555555556
rbf_svm__c_0.001__gamma_0.0001,rbf_svm,0.001,0.0001,2,0.12631578947368421,0.16,0.9267950617283951,0.008888888888888889,0.27111111111111114
rbf_svm__c_0.001__gamma_0.001,rbf_svm,0.001,0.001,2,0.12514619883040937,0.1688888888888889,0.9250567901234569,0.008888888888888889,0.26666666666666666
rbf_svm__c_0.001__gamma_0.01,rbf_svm,0.001,0.01,2,0.1391812865497076,0.2,0.9071407407407406,0.008888888888888889,0.25333333333333335
rbf_svm__c_0.001__gamma_0.1,rbf_svm,0.001,0.1,2,0.0,0.23555555555555555,0.8581925925925926,0.008888888888888889,0.30666666666666664
rbf_svm__c_0.001__gamma_1,rbf_svm,0.001,1.0,2,0.0,0.2765273311897106,0.8088888888888889,0.0,0.38222222222222224
rbf_svm__c_0.01__gamma_0.0001,rbf_svm,0.01,0.0001,2,0.12631578947368421,0.16,0.9267950617283951,0.008888888888888889,0.27111111111111114
rbf_svm__c_0.01__gamma_0.001,rbf_svm,0.01,0.001,2,0.12514619883040937,0.1688888888888889,0.9250567901234569,0.008888888888888889,0.26666666666666666
rbf_svm__c_0.01__gamma_0.01,rbf_svm,0.01,0.01,2,0.1391812865497076,0.2,0.9071407407407406,0.008888888888888889,0.25333333333333335
rbf_svm__c_0.01__gamma_0.1,rbf_svm,0.01,0.1,2,0.0,0.23555555555555555,0.8581925925925926,0.008888888888888889,0.30666666666666664
rbf_svm__c_0.01__gamma_1,rbf_svm,0.01,1.0,2,0.0,0.2765273311897106,0.8088888888888889,0.0,0.38222222222222224
rbf_svm__c_0.1__gamma_0.0001,rbf_svm,0.1,0.0001,2,0.12631578947368421,0.16,0.9267950617283951,0.008888888888888889,0.27111111111111114
