config_id,family,c,gamma,fold,train_eer,validation_eer,validation_roc_auc,working_fmr,working_fnmr
rbf_svm__c_0.003__gamma_0.01,rbf_svm,0.003,0.01,1,0.12982456140350876,0.09333333333333334,0.9697975308641975,0.008888888888888889,0.29333333333333333
rbf_svm__c_0.003__gamma_0.03,rbf_svm,0.003,0.03,1,0.11929824561403508,0.10222222222222223,0.9664987654320988,0.008888888888888889,0.29333333333333333
rbf_svm__c_0.003__gamma_0.1,rbf_svm,0.003,0.1,1,0.0,0.10666666666666667,0.9544888888888888,0.008888888888888889,0.29777777777777775
logistic_regression__c_1e-05,logistic_regression,1e-05,,2,0.12631578947368421,0.16,0.9276246913580247,0.008888888888888889,0.27111111111111114
logistic_regression__c_3e-05,logistic_regression,3e-05,,2,0.12631578947368421,0.16,0.9288296296296296,0.008888888888888889,0.27111111111111114
logistic_regression__c_0.0001,logistic_regression,0.0001,,2,0.12046783625730995,0.16,0.9325234567901235,0.008888888888888889,0.28
logistic_regression__c_0.0003,logistic_regression,0.0003,,2,0.1111111111111111,0.1511111111111111,0.9389432098765431,0.008888888888888889,0.3022222222222222
logistic_regression__c_0.001,logistic_regression,0.001,,2,0.09239766081871345,0.12444444444444444,0.9491358024691359,0.008888888888888889,0.31555555555555553
logistic_regression__c_0.003,logistic_regression,0.003,,2,0.07485380116959064,0.1111111111111111,0.9549037037037037,0.0044444444444444444,0.31555555555555553
linear_svm__c_1e-05,linear_svm,1e-05,,2,0.12631578947368421,0.16,0.9268938271604938,0.008888888888888889,0.27111111111111114
linear_svm__c_3e-05,linear_svm,3e-05,,2,0.12631578947368421,0.16,0.9268938271604938,0.008888888888888889,0.27111111111111114
linear_svm__c_0.0001,linear_svm,0.0001,,2,0.12982456140350876,0.16,0.9286716049382716,0.008888888888888889,0.27555555555555555
linear_svm__c_0.0003,linear_svm,0.0003,,2,0.10877192982456141,0.1288888888888889,0.9491753086419753,0.008888888888888889,0.32
linear_svm__c_0.001,linear_svm,0.001,,2,0.0783625730994152,0.10222222222222223,0.960730864197531,0.008888888888888889,0.31555555555555553
linear_svm__c_0.003,linear_svm,0.003,,2,0.06432748538011696,0.10222222222222223,0.9592493827160494,0.008888888888888889,0.29333333333333333
rbf_svm__c_1e-05__gamma_0.001,rbf_svm,1e-05,0.001,2,0.12514619883040937,0.1688888888888889,0.9250567901234569,0.008888888888888889,0.26666666666666666
rbf_svm__c_1e-05__gamma_0.003,rbf_svm,1e-05,0.003,2,0.11929824561403508,0.17777777777777778,0.9211851851851852,0.008888888888888889,0.2577777777777778
rbf_svm__c_1e-05__gamma_0.01,rbf_svm,1e-05,0.01,2,0.1391812865497076,0.2,0.9071407407407406,0.008888888888888889,0.25333333333333335
rbf_svm__c_1e-05__gamma_0.03,rbf_svm,1e-05,0.03,2,0.14035087719298245,0.2222222222222222,0.8798814814814815,0.0044444444444444444,0.27555555555555555
