model,fold,train_eer,train_roc_auc,validation_eer,validation_roc_auc,validation_eer_threshold,target_fmr,working_threshold,working_fmr,working_fnmr
pca_distance,1,0.1239766081871345,0.9507253513901713,0.04,0.9936592592592592,-13.302334573342149,0.01,-12.494405615154205,0.008888888888888889,0.09777777777777778
logistic_regression,1,0.06315789473684211,0.983767996990527,0.12,0.9650172839506173,0.8769388618161869,0.01,3.246277539582931,0.008888888888888889,0.30666666666666664
linear_svm,1,0.06549707602339182,0.9816654697171779,0.12,0.9640691358024692,0.6103986864071524,0.01,2.36163569098752,0.008888888888888889,0.31555555555555553
rbf_svm,1,0.0023391812865497076,0.9999534899627236,0.08444444444444445,0.9755456790123456,0.42064089479250066,0.01,0.9429138647261581,0.008888888888888889,0.24888888888888888
pca_distance,2,0.10877192982456141,0.951745836325707,0.1288888888888889,0.9578271604938272,-15.02096824442,0.01,-11.823379772905907,0.008888888888888889,0.3111111111111111
logistic_regression,2,0.05497076023391813,0.9882794706063405,0.1111111111111111,0.9521777777777778,-0.58533946269446,0.01,3.5154932500308407,0.008888888888888889,0.4711111111111111
linear_svm,2,0.050292397660818715,0.9865079853630176,0.11555555555555555,0.9543901234567901,-0.39769896989556763,0.01,2.5625852932672317,0.008888888888888889,0.47555555555555556
rbf_svm,2,0.0023391812865497076,0.9998946684449916,0.10222222222222223,0.9605333333333332,-0.18575536263601067,0.01,0.45032988761327714,0.008888888888888889,0.28444444444444444
pca_distance,3,0.12046783625730995,0.9525118839984953,0.10222222222222223,0.9627061728395062,-15.169388803395217,0.01,-13.108652413990555,0.008888888888888889,0.2222222222222222
logistic_regression,3,0.05964912280701754,0.9852316952224616,0.17333333333333334,0.9067061728395062,0.2960035700225162,0.01,3.326410854743811,0.008888888888888889,0.44
linear_svm,3,0.05847953216374269,0.9831236961800213,0.17777777777777778,0.9039802469135803,0.3066120929479266,0.01,2.7437171211259477,0.0044444444444444444,0.5111111111111111
rbf_svm,3,0.005847953216374269,0.9999261311172668,0.13333333333333333,0.9243061728395061,-0.1817437836249347,0.01,0.39080603211085785,0.008888888888888889,0.27555555555555555
pca_distance,4,0.13099415204678364,0.9480209295167744,0.1288888888888889,0.9524740740740741,-11.53252773424509,0.01,-9.012427964268149,0.008888888888888889,0.49333333333333335
logistic_regression,4,0.06315789473684211,0.9830293081631954,0.2311111111111111,0.8683456790123457,1.8955854698481973,0.01,5.888254491578129,0.008888888888888889,0.8533333333333334
linear_svm,4,0.06198830409356725,0.9803071030402517,0.2311111111111111,0.864079012345679,1.3619862698044773,0.01,3.9954884479492803,0.008888888888888889,0.8444444444444444
rbf_svm,4,0.0023391812865497076,0.9999712732122704,0.20444444444444446,0.8912,0.5377500037895389,0.01,1.5321447014751484,0.008888888888888889,0.7288888888888889
pca_distance,5,0.1322222222222222,0.9482740740740742,0.07777777777777778,0.9799382716049383,-13.52749150501585,0.01,-10.981502325915887,0.005555555555555556,0.2722222222222222
logistic_regression,5,0.06111111111111111,0.9874456790123457,0.25,0.8646913580246913,0.5878959655041729,0.01,4.560385400647933,0.005555555555555556,0.6388888888888888
linear_svm,5,0.05555555555555555,0.9856370370370371,0.22777777777777777,0.8673148148148148,0.4049137820821491,0.01,3.3638484948623626,0.005555555555555556,0.6222222222222222
rbf_svm,5,0.0011111111111111111,0.9999888888888889,0.1388888888888889,0.9376543209876543,0.32016620627349496,0.01,1.0588131989685143,0.005555555555555556,0.37222222222222223
